E1,E2,E3,E4,E5,E6,E7,E8
1.2759,9.1875,-8.3956,-1.1916,7.9963,3.8138,1.8812,8.7069
2.5648,-10.2455,8.8638,8.0845,-2.3777,6.2617,-5.0375,-6.3251
-8.4159,-8.2214,7.6435,-0.3772,2.9802,6.5977,-4.4405,-1.3425
-6.5965,-5.4838,-8.8693,-6.8877,-7.9202,9.4127,10.5297,3.4916
-6.9050,-5.7108,-10.0042,-3.7227,-9.3818,8.2389,9.4859,2.9145
2.7099,7.6830,-3.9584,-1.8877,6.4645,4.0929,0.4415,9.5480
4.3520,-7.2312,7.7763,6.4253,-1.5322,6.6588,-5.0376,-7.2496
2.9474,-6.5391,6.4300,6.5131,0.7063,5.4154,-3.1913,-5.7230
3.1561,-9.4085,7.9354,8.7872,-2.4290,7.3027,-4.7741,-5.8767
-3.9171,9.0132,1.8710,7.8740,6.8041,-10.3297,-4.0393,3.8170
2.1812,-8.3399,8.0857,6.8232,-1.4436,6.6831,-2.5270,-6.2367
-6.5944,-5.3938,-6.6900,-5.1582,-6.6994,9.0644,8.0004,3.7374
-3.6194,10.3445,3.4700,7.7516,7.1827,-10.8088,-4.8717,2.4436
-7.3713,-7.7853,6.7127,-0.1757,4.1331,6.2315,-4.3378,-1.4658
3.0972,8.7153,-6.2072,-1.4930,8.2128,1.8310,0.9542,8.7727
-6.0350,-7.3332,5.5422,-0.4895,2.3833,5.5709,-4.7715,-1.7183
-3.7932,8.9449,2.8009,7.8425,6.7081,-8.4948,-2.5977,3.7402
-7.2951,-8.6212,7.6254,-0.3769,2.8860,5.5887,-3.6481,-2.3937
2.9592,-8.5410,5.0653,6.9692,-2.0891,7.7519,-3.5625,-5.0749
-4.6544,10.5291,2.2542,8.3278,6.2943,-9.6432,-1.4592,3.6108
-7.3739,-8.2304,5.5682,0.2093,1.4977,6.4250,-4.7113,-2.8700
0.1260,9.5132,-8.3706,-0.7103,6.9229,2.1954,1.0368,10.6849
-3.9286,8.6439,4.8731,6.4985,8.1748,-10.3575,-2.2755,3.7341
1.5335,9.7544,-7.4306,-3.7388,8.0284,3.8713,0.5945,8.1135
-7.2527,-4.7289,-8.0366,-5.4709,-7.5406,8.3814,12.3357,4.2719
3.1574,-9.9763,7.8766,8.2128,-0.7273,5.0489,-2.8862,-6.0034
0.7343,8.8296,-10.1754,-0.9669,6.3099,4.5987,2.1201,7.8910
-7.9969,-5.2072,-10.1045,-5.6234,-7.5941,8.8952,9.8260,2.8274
-5.8281,8.6399,2.0835,8.0083,7.8616,-8.3612,-2.0630,3.4954
-5.6077,-6.4743,7.7071,0.9053,2.6328,4.9423,-2.6382,-1.9369
0.5013,8.7298,-6.5946,-1.8641,6.4699,2.8002,1.0319,11.0638
-3.6797,11.2475,2.0028,8.4658,8.4845,-8.5069,-4.4003,5.2471
-3.4995,10.3244,2.7644,7.9613,7.5497,-9.3583,-2.8476,4.1536
2.4233,8.2485,-6.2159,-1.6538,7.9280,2.6046,1.4419,9.6540
-7.2282,-7.3536,7.2186,-1.9330,4.5928,5.8263,-3.1703,-1.5013
2.9516,-8.6386,7.2736,7.7010,-1.9395,8.3444,-4.0709,-4.0920
-4.8586,10.9206,2.3352,7.3361,8.7287,-8.8460,-4.5403,4.8586
3.6877,-8.7242,9.0966,7.4290,-1.1102,7.1108,-3.3927,-6.7145
1.5542,9.0806,-6.7313,-3.1742,8.4184,2.2384,2.1354,10.9802
-4.0411,7.0904,2.4089,7.6368,7.4850,-8.4062,-3.9820,4.7598
-5.3092,-2.5539,-7.6463,-6.3609,-8.4543,8.2842,9.9412,2.3099
-7.6881,-4.3675,-8.4880,-4.3749,-7.2830,10.4733,9.3568,4.2713
-7.8362,-6.0524,-9.0074,-5.1108,-6.9505,7.7922,9.9743,3.9913
-7.2996,-6.6346,4.6701,-1.9530,2.1209,5.8344,-4.9757,-2.7628
-8.2721,-5.7218,-7.9154,-6.2938,-9.8427,9.4609,9.7825,3.2175
0.0348,8.7113,-8.6456,-2.9452,6.5151,1.9426,2.4874,10.6729
2.1837,10.1029,-5.2465,-0.4181,7.4207,2.0583,1.2364,9.8741
-3.4607,10.3060,0.5772,6.5018,8.3350,-7.8940,-3.8289,3.4572
-6.5046,-8.2209,8.6503,0.6111,2.5918,4.4919,-6.0027,-2.6123
-7.1201,-3.8527,-9.6396,-5.7949,-7.2524,9.3445,8.3998,4.6759
1.8183,11.2501,-7.2869,-2.2458,7.0965,3.1105,1.6124,8.6728
-6.8255,-8.7189,5.7091,-0.0136,4.5751,5.7210,-5.3582,-2.0424
-3.5499,10.3615,2.5517,8.6676,6.2747,-9.6537,-2.6987,3.6782
3.6053,-10.2634,8.1703,6.9594,-1.4318,8.2583,-3.7748,-6.2102
-4.2629,10.2550,2.9328,8.4282,5.0894,-7.9738,-4.1407,3.3208
3.1519,-9.7073,6.9354,7.7886,-1.8513,6.6504,-3.1352,-5.1156
-8.0239,-6.1409,-9.6011,-4.6127,-7.9367,10.1203,10.8758,3.4415
3.2506,-8.5397,6.8796,8.2265,-1.2636,8.8578,-4.0476,-6.7541
3.3934,7.3819,-7.4002,-0.3447,7.7073,2.1248,0.2960,9.9213
-3.5644,8.6033,3.8274,9.2037,5.8538,-7.6477,-1.4213,3.8554
1.3344,-8.0561,6.6559,8.5494,-2.3817,7.0115,-2.3336,-5.8359
-6.4066,-5.7025,7.4312,1.4039,4.0199,6.0427,-3.8484,-1.6296
-2.0907,10.4577,1.2930,7.4391,7.7748,-9.2029,-2.8779,3.7243
-10.1585,-7.1014,7.8170,0.4358,3.4106,6.7600,-4.6808,-0.7314
-9.1759,-4.6898,-9.3956,-7.8320,-8.4276,10.0300,10.0656,3.5713
-4.0044,9.0702,3.6646,8.1953,6.6542,-9.3612,-3.5131,4.6641
2.4498,9.3912,-5.7453,-2.3171,9.2345,2.2776,1.0999,7.4141
3.4738,-10.3651,7.4646,8.6218,-1.3520,4.9861,-4.6047,-6.8750
0.3412,11.0630,-5.9113,-0.8288,6.3971,3.7905,-0.6783,9.1346
4.7298,-8.5897,5.9907,9.6806,-1.7692,7.1277,-0.9662,-7.2248
-6.2754,-4.5206,-9.1849,-5.6083,-9.0429,9.2844,8.0855,2.8242
2.2368,11.1074,-6.6528,0.3928,8.2133,2.5927,0.0366,8.8672
-5.0961,10.7181,-0.0392,7.7682,6.9400,-8.4739,-3.5903,6.5165
4.2295,-9.7911,7.7791,6.8403,-2.3491,7.0581,-3.2755,-4.7779
3.4734,-7.3013,6.6845,6.3658,-1.5550,7.6081,-2.6025,-7.2168
-2.7481,9.1113,2.7869,9.3234,6.6477,-7.3779,-3.8125,5.5372
-2.2914,8.8965,2.6460,8.5414,7.5648,-9.4982,-3.9788,3.7175
2.0338,-8.1394,7.3593,7.5581,-1.9711,5.7596,-5.5279,-6.8970
1.4818,8.3031,-7.7951,-1.8895,6.9106,3.7551,1.1937,10.0096
1.3112,9.4451,-6.8375,-1.6484,8.0212,2.2310,-0.1942,10.5561
0.0530,8.1997,-6.7556,-1.0792,7.2158,4.0426,1.0176,8.8950
-2.6326,8.5339,2.7644,7.1975,9.2097,-7.8980,-3.8928,6.0390
0.6332,9.6876,-7.6224,-0.8830,6.7711,2.7882,1.7170,10.6039
2.4370,-5.8733,6.9893,8.3918,-1.6001,9.0157,-3.7945,-6.6860
-7.1890,-4.9110,-10.1365,-6.4772,-8.4338,10.4750,9.4176,4.9311
-4.1421,9.7064,3.3078,8.0600,8.4861,-8.9731,-3.6481,3.3997
-6.9456,-3.3380,-9.3659,-6.1671,-8.0729,10.1689,10.0626,1.5562
-6.3563,-5.6391,5.8581,0.5123,3.8116,6.4796,-3.4938,-2.2491
-2.4002,9.6634,1.1967,6.4811,8.1640,-7.8297,-3.3261,4.0343
-7.3816,-3.4696,-8.6436,-5.9846,-8.0229,7.6538,8.7570,3.2680
-7.4943,-6.8421,6.0706,0.4574,3.8909,5.9609,-3.0936,-0.6354
-6.2884,-7.4904,5.5634,-0.5530,3.8699,6.9517,-3.8431,-2.4997
-3.8366,8.9674,4.6657,8.2189,5.7644,-9.7553,-3.8817,4.2960
1.4898,8.9755,-8.1586,-2.2975,7.5954,3.1835,1.2892,10.7206
-6.0382,-4.0082,-7.2899,-5.4121,-8.4725,9.8431,10.0894,2.8285
2.8389,-8.9263,3.8495,8.9126,-0.7895,8.1780,-3.9491,-7.3809
3.6208,9.6155,-6.1004,-2.7372,8.2659,3.0490,0.8548,10.0317
-2.6144,10.4972,3.6029,6.7743,7.0603,-8.3524,-1.5714,5.0283
-4.1693,9.7856,3.8809,6.8679,7.5180,-8.0461,-4.7847,3.3892
-3.6791,10.7022,1.5849,8.9841,6.5129,-9.3423,-5.0585,3.7282
-6.6565,-7.1150,8.4506,0.1991,4.1028,6.4394,-5.6140,-1.6420
2.8956,9.2192,-7.6924,-0.8377,7.5613,3.1932,2.0266,10.1196
-1.7031,10.0166,4.1962,7.5749,8.3100,-8.8187,-3.0607,5.4255
-6.4888,-6.6759,7.1889,-0.2357,4.5652,5.4671,-4.4718,-1.1841
3.1027,-9.2521,7.3104,9.6217,-0.6458,7.6943,-2.0508,-6.3968
-5.0430,-8.0375,4.6119,-0.9175,4.0354,6.1278,-6.1606,-1.7337
2.8145,9.1539,-6.5420,0.0366,9.2114,2.3701,2.4091,9.1543
0.7906,-8.0847,7.3423,6.6451,-0.6521,7.2124,-4.2799,-6.2215
5.5054,-6.9270,5.8676,8.2195,-3.0726,5.1925,-2.8419,-5.4073
3.4826,-6.5911,7.8665,6.2650,-3.8589,6.6623,-1.2323,-6.3138
-1.4270,9.9398,4.2567,8.7580,7.4581,-10.1232,-3.2027,4.8793
-0.3568,9.2923,-5.9768,1.9777,8.8709,2.2752,2.6932,9.3186
-6.5119,-9.3235,6.3853,0.5875,1.9047,5.6637,-4.5123,-2.4712
-3.9299,10.2972,2.8967,8.6978,8.8728,-7.4883,-5.1681,3.7334
-4.0921,8.1833,2.9262,8.0856,7.5224,-9.6939,-3.1244,4.0871
-6.5595,-7.1232,7.7823,-0.8816,2.6071,4.7828,-4.1701,-1.1910
-4.5253,9.7413,4.7635,6.5237,7.5038,-8.5344,-3.7696,5.0725
2.7628,10.9642,-6.3638,-2.4179,7.5620,2.7571,1.9743,9.3467
0.8890,8.1931,-7.3236,-0.8208,5.8773,2.0862,0.7120,10.2314
2.8070,-7.4174,6.5511,8.9541,-3.0915,6.4250,-3.5319,-5.1422
-6.8589,-8.2285,-9.7192,-7.2468,-7.0414,8.9684,10.4016,4.4405
-3.3812,9.7993,3.1932,9.4544,7.3093,-10.0152,-1.7172,4.4848
4.4608,-7.9611,7.0679,8.6642,-2.9362,6.7887,-4.2198,-6.5016
-6.5253,-6.5296,8.0355,-0.9164,1.9702,4.9059,-4.6021,-3.7217
-3.4209,10.4636,4.1620,7.2740,7.7313,-6.6348,-3.9999,3.9510
-4.0772,8.8642,3.1473,6.7899,7.2604,-8.6886,-3.7652,4.6705
-8.0432,-3.4588,-9.3597,-5.1712,-11.2633,8.9088,7.6332,3.8038
1.4942,-9.8036,6.7488,6.0941,-1.5519,7.2620,-2.8509,-6.6216
-5.5588,-6.9526,7.5174,-0.6438,3.7183,6.1808,-4.9859,-2.8515
-8.2681,-4.9833,-9.6382,-5.7564,-8.2091,8.9680,9.1026,2.1502
1.0783,9.1217,-7.4142,-0.6934,7.8889,2.6750,1.5270,8.2687
2.4629,-6.8418,5.4543,8.1725,-1.1548,7.0301,-2.6341,-6.3833
-6.5041,-5.2761,5.8887,0.5094,2.0592,6.5381,-4.2541,-1.2368
1.5426,7.5362,-8.0515,-0.8339,7.2795,3.4077,2.9407,9.0574
-8.4779,-6.5996,-10.0799,-5.3682,-9.6073,9.1683,9.8210,2.5593
2.5708,-9.6484,7.8848,7.6513,0.8457,6.3227,-3.3083,-7.5348
4.7273,-7.7626,7.5888,8.5356,-1.7616,3.8014,-4.2955,-5.7997
-7.2102,-5.9349,7.5431,-0.6506,4.0409,6.0757,-2.6895,-1.7785
-6.3791,-6.1855,7.7108,0.9440,1.3393,7.1540,-4.6549,-2.0417
-8.0474,-3.9090,-10.1005,-6.4704,-9.2037,11.0931,9.5766,3.7252
-7.1724,-7.6340,7.9545,0.5208,2.4738,5.4439,-5.7348,-2.3583
2.1210,10.3236,-9.5304,-1.7722,7.4536,2.7809,2.2198,10.5444
-2.6859,9.0566,4.2618,6.6173,6.1076,-8.7642,-4.6891,5.4832
3.3140,-7.5089,7.6895,7.0417,-1.3596,5.9376,-4.0040,-6.7946
-6.5353,-6.7597,8.2412,-0.6796,1.8458,4.7742,-5.3483,-0.1898
-6.9206,-7.9667,7.6515,0.6486,4.1339,6.0647,-4.3643,-1.4267
4.6829,-7.5988,6.4226,8.1391,-2.3143,6.8125,-2.2265,-6.7757
-7.1460,-3.5566,-8.7166,-4.2330,-6.6997,8.8314,8.9431,5.0762
2.3998,10.1665,-7.9865,-1.3524,8.0070,2.4600,4.1311,8.0247
-7.0822,-7.2345,7.0667,1.3445,2.5260,5.3960,-3.7204,-2.4933
-7.0798,-8.4798,3.8650,1.6496,3.4563,6.1960,-4.5330,-1.2712
-6.4277,-6.7335,8.0887,0.3097,2.7519,5.7285,-3.1090,-2.5020
1.1121,8.8073,-7.5279,0.2721,7.4928,2.9992,-0.1168,9.6668
3.9805,-7.6995,4.2032,6.7944,-2.0208,8.1430,-6.3730,-6.4686
2.8003,-8.0413,6.7691,6.7392,-1.1937,7.6854,-1.5372,-6.4951
-4.4341,10.0594,2.1664,8.5274,7.2808,-11.1156,-3.3447,2.8027
-3.1099,10.4968,2.9476,7.3850,7.7010,-7.7757,-2.1568,5.5610
-7.3799,-4.7355,-11.0835,-6.1216,-8.8928,9.4632,10.6432,2.8496
1.2000,-7.8291,6.8681,7.1829,-2.6135,4.8170,-3.0746,-5.4559
3.1520,-9.0231,8.4299,6.6806,-1.3817,7.6562,-4.0903,-6.6136
-2.0595,10.7181,3.5198,8.8859,6.0990,-7.6851,-3.9842,3.4763
-6.8428,-6.2970,-9.8454,-5.1416,-8.3140,9.9894,9.2886,5.1050
-5.3468,9.6379,4.5395,7.0157,7.4676,-8.5844,-3.1423,4.0116
-3.0109,9.9683,3.1998,8.5325,7.6684,-7.3616,-2.9034,3.6797
-1.1925,8.5483,2.8433,7.0477,6.9899,-10.7269,-4.5130,4.5332
-5.3415,-3.9975,-10.5827,-4.2129,-8.2490,9.2610,10.3215,4.3305
-2.9739,10.0393,3.2444,8.0144,6.7738,-9.0724,-1.8407,4.4614
3.2191,-7.8153,5.6064,8.1957,-2.8597,6.0154,-3.6920,-5.8637
4.3378,-9.4559,7.4391,8.3337,-1.8763,6.9737,-3.4756,-5.3991
-3.2995,11.0319,3.5618,9.2738,6.9582,-7.8001,-3.3907,3.4109
-7.4700,-3.9016,-8.0114,-5.2965,-8.0194,8.8023,9.6179,2.7380
-5.8183,-6.2432,6.9953,-0.7638,1.8842,6.0864,-3.2783,-2.5576
-4.7539,-7.1255,6.9384,1.3971,4.6463,5.0919,-4.0692,-1.1330
2.1067,-8.7755,7.5343,9.7051,-1.4693,9.3247,-2.9467,-5.3814
-7.7205,-5.9635,5.5488,0.2607,2.4348,6.3350,-3.6388,-3.5139
-2.8864,9.3488,1.7920,9.4199,6.6643,-9.7014,-3.9914,4.6248
-5.9012,-4.4575,-8.6568,-5.8561,-11.3067,8.9289,10.5244,4.4979
-1.2251,10.1576,3.7884,7.9742,8.9574,-9.8116,-3.3109,5.0099
-6.7568,-5.9500,-8.2523,-4.0767,-9.6996,8.7801,10.6162,4.1580
-6.0484,-6.6245,8.0366,0.0113,3.3678,7.5386,-4.9512,-0.8971
2.5380,9.8545,-6.4961,-2.3418,9.0914,3.9810,0.8077,10.5057
2.9676,-10.0385,5.7726,9.0567,-2.1629,6.7893,-3.9971,-7.2852
-3.8237,8.2665,1.7833,7.0628,6.6385,-10.5151,-3.1925,3.0447
1.1461,8.8642,-9.3487,-2.3935,7.7502,3.1793,1.6999,8.6208
-7.2219,-4.9009,-9.8265,-4.2786,-10.3971,9.1142,9.8057,1.3091
-6.0286,-6.3432,6.3009,-0.5349,3.4240,5.2995,-3.7682,-2.9980
-4.1534,8.4818,2.5400,7.8339,8.2659,-7.9146,-2.8068,4.6668
-5.4448,-8.8707,6.0001,-2.6329,1.4539,7.3928,-3.7575,-0.9166
2.2485,-8.0438,6.3298,5.1635,-1.2775,6.4085,-4.0835,-6.6064
0.5898,9.2033,-5.7979,-3.2854,5.9961,4.2514,2.8973,7.4391
-2.9791,9.4214,1.2577,9.3455,7.5025,-10.4063,-3.8440,4.2594
-6.9428,-4.2074,-8.9001,-5.4603,-6.3700,9.2774,10.5645,4.9657
-7.4644,-5.1471,-8.8234,-5.0201,-8.3345,10.2910,10.0739,3.1829
2.2944,-7.5745,4.4106,7.4555,-0.9310,7.3004,-4.2343,-5.3147
4.2895,-8.1200,7.5254,6.6174,-0.4522,5.5508,-1.6927,-6.2108
-8.1163,-6.5815,7.1248,0.6052,2.9103,6.8248,-5.3574,0.2947
2.2881,9.9455,-8.9943,-1.7997,7.0286,2.8140,0.2987,11.1916
2.4888,10.3846,-7.8450,-0.6603,8.8324,1.4056,0.4181,8.6460
-3.7922,10.2598,3.1383,7.4708,9.7384,-10.6127,-2.5591,4.2795
-4.9495,-5.9563,6.2597,0.3355,3.0103,4.3978,-5.2716,-1.2418
2.5472,10.8442,-7.6460,-0.0965,6.0243,3.5739,1.1568,10.9909
-7.3083,-4.9613,-8.3040,-5.7487,-7.1992,10.5259,8.3631,3.3970
2.0497,7.9271,-7.8992,-1.7620,6.4316,3.5839,1.3160,8.0741
3.0689,9.3064,-7.2355,-0.6680,6.1398,5.3421,0.9640,8.1505
-1.1379,9.6185,2.8762,8.1151,6.8397,-9.7361,-1.9434,5.1674
0.6279,8.0801,-5.2222,-1.3579,7.7777,0.2545,-0.0374,9.1634
-7.5457,-7.6298,4.7015,-0.8862,1.9181,7.6424,-4.5923,-2.5524
-7.4578,-6.0410,6.1101,-0.5240,2.9637,6.0303,-2.2922,-2.7190
2.1731,-5.9737,7.9280,6.7666,-2.8709,7.1129,-4.3743,-5.9136
4.4756,-10.0060,7.2652,7.4796,-1.5685,6.8541,-1.5207,-6.2660
3.0910,-8.9325,6.0143,6.5734,-1.3411,8.4938,-3.8610,-8.4865
2.8439,7.1853,-7.4241,-0.3965,8.6879,3.7043,0.8417,8.1284
-7.1184,-4.0416,-9.1756,-6.1897,-8.3623,9.8730,8.2951,1.3575
2.7171,-7.9917,8.7520,8.2506,-2.3919,6.4827,-2.5636,-6.6436
1.9808,10.6216,-8.2324,-2.1649,6.9455,3.3816,0.8601,9.3924
4.4785,-8.4139,6.2222,7.1240,-1.6567,5.2477,-2.4696,-6.6037
-3.0173,9.5346,5.5490,7.0500,5.6363,-8.0363,-2.9101,4.9869
1.5425,9.5991,-6.2500,-1.5465,8.3557,2.4875,1.3965,8.4691
-8.2847,-6.2551,7.3264,0.1754,3.0184,6.1310,-4.1663,-2.2884
1.8685,11.4919,-6.4780,-3.7899,6.2221,4.1089,1.8806,8.4335
3.3678,-8.6091,7.2453,9.0347,-0.1214,7.3632,-3.7816,-7.8628
4.3511,-8.9578,6.5802,6.5630,-1.5905,7.1880,-3.2164,-7.4219
2.4317,-9.5295,6.9613,8.7647,-2.1639,5.6380,-3.2044,-5.7734
-6.7479,-8.9554,6.3782,-0.8587,3.6574,7.4974,-6.2160,-0.5312
-7.0468,-4.7039,-8.4872,-3.6848,-8.4611,8.4210,9.2007,4.1706
-4.8593,-7.2725,7.2833,0.8182,1.5728,6.4256,-3.7484,-4.3360
-3.7718,10.3984,2.6483,9.4682,5.3896,-6.0171,-3.4565,2.5917
0.9281,10.4117,-6.5536,-0.6915,6.5884,2.5525,0.8562,9.7273
-7.0788,-7.2135,-9.7830,-4.9665,-7.4230,9.2876,8.6226,5.1891
-7.0862,-6.9330,5.4157,-0.2983,2.5264,6.5907,-2.4398,-2.8399
-4.4834,9.9668,3.3580,8.4224,8.0176,-9.4599,-2.7875,2.9344
-5.2184,8.7508,5.0700,9.0819,7.5275,-7.8703,-3.1150,5.4694
