Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
F,0.500,0.400,0.140,0.661,0.257,0.175,0.220,8
M,0.445,0.350,0.120,0.443,0.192,0.096,0.135,8
M,0.470,0.385,0.135,0.590,0.277,0.120,0.170,8
I,0.245,0.190,0.060,0.086,0.042,0.014,0.025,4
F,0.505,0.400,0.125,0.583,0.246,0.130,0.175,7
M,0.450,0.345,0.105,0.411,0.180,0.113,0.135,7
M,0.505,0.405,0.110,0.625,0.305,0.160,0.175,9
F,0.530,0.410,0.130,0.697,0.302,0.194,0.200,10
M,0.425,0.325,0.095,0.379,0.171,0.080,0.100,7
M,0.520,0.400,0.120,0.580,0.234,0.132,0.185,8
M,0.475,0.355,0.120,0.480,0.234,0.102,0.135,8
F,0.565,0.440,0.160,0.915,0.354,0.194,0.320,12
F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13
F,0.475,0.390,0.120,0.530,0.213,0.116,0.170,10
I,0.310,0.235,0.070,0.151,0.063,0.041,0.045,6
M,0.555,0.425,0.130,0.766,0.264,0.168,0.275,13
F,0.400,0.320,0.110,0.353,0.141,0.099,0.100,8
F,0.595,0.475,0.170,1.247,0.480,0.225,0.425,20
M,0.570,0.480,0.175,1.185,0.474,0.261,0.380,11
F,0.605,0.450,0.195,1.098,0.481,0.289,0.315,13
F,0.600,0.475,0.150,1.008,0.443,0.221,0.280,15
M,0.595,0.475,0.140,0.944,0.362,0.189,0.315,9
F,0.600,0.470,0.150,0.922,0.363,0.194,0.305,10
F,0.555,0.425,0.140,0.788,0.282,0.160,0.285,11
F,0.615,0.475,0.170,1.103,0.469,0.235,0.345,14
F,0.575,0.445,0.140,0.941,0.385,0.252,0.285,9
M,0.620,0.510,0.175,1.615,0.510,0.192,0.675,12
F,0.520,0.425,0.165,0.989,0.396,0.225,0.320,16
M,0.595,0.475,0.160,1.317,0.408,0.234,0.580,21
M,0.580,0.450,0.140,1.013,0.380,0.216,0.360,14
F,0.570,0.465,0.180,1.295,0.339,0.223,0.440,12
M,0.625,0.465,0.140,1.195,0.482,0.205,0.400,13
M,0.560,0.440,0.160,0.865,0.331,0.207,0.260,10
F,0.460,0.355,0.130,0.517,0.221,0.114,0.165,9
F,0.575,0.450,0.160,0.978,0.314,0.231,0.330,12
M,0.565,0.425,0.135,0.811,0.341,0.168,0.255,15
M,0.555,0.440,0.150,0.755,0.307,0.152,0.260,12
M,0.595,0.465,0.175,1.115,0.402,0.254,0.390,13
F,0.625,0.495,0.165,1.262,0.507,0.318,0.390,10
M,0.695,0.560,0.190,1.494,0.588,0.343,0.485,15
M,0.665,0.535,0.195,1.606,0.576,0.388,0.480,14
M,0.535,0.435,0.150,0.725,0.269,0.139,0.250,9
M,0.470,0.375,0.130,0.523,0.214,0.132,0.145,8
M,0.470,0.370,0.130,0.522,0.201,0.133,0.165,7
F,0.475,0.375,0.125,0.579,0.278,0.085,0.155,10
I,0.360,0.265,0.095,0.232,0.105,0.046,0.075,7
M,0.550,0.435,0.145,0.843,0.328,0.192,0.255,15
M,0.530,0.435,0.160,0.883,0.316,0.164,0.335,15
M,0.530,0.415,0.140,0.724,0.310,0.168,0.205,10
M,0.605,0.470,0.160,1.173,0.497,0.240,0.345,12
F,0.520,0.410,0.155,0.727,0.291,0.183,0.235,12
F,0.545,0.430,0.165,0.802,0.293,0.183,0.280,11
F,0.500,0.400,0.125,0.667,0.261,0.132,0.220,10
F,0.510,0.390,0.135,0.633,0.231,0.179,0.200,9
F,0.435,0.395,0.105,0.363,0.136,0.098,0.130,9
M,0.495,0.395,0.125,0.541,0.237,0.135,0.155,9
M,0.465,0.360,0.105,0.431,0.172,0.107,0.175,9
I,0.435,0.320,0.080,0.333,0.148,0.064,0.105,9
M,0.425,0.350,0.105,0.393,0.130,0.063,0.165,9
F,0.545,0.410,0.125,0.694,0.297,0.146,0.210,11
F,0.530,0.415,0.115,0.592,0.233,0.159,0.180,11
F,0.490,0.375,0.135,0.613,0.256,0.102,0.220,11
M,0.440,0.340,0.105,0.402,0.131,0.096,0.165,10
F,0.560,0.430,0.150,0.882,0.346,0.172,0.310,9
M,0.405,0.305,0.085,0.261,0.115,0.059,0.085,8
F,0.470,0.365,0.105,0.420,0.163,0.103,0.140,9
I,0.385,0.295,0.085,0.254,0.103,0.058,0.085,7
F,0.515,0.425,0.140,0.766,0.304,0.172,0.255,14
M,0.370,0.265,0.075,0.214,0.090,0.051,0.070,6
I,0.360,0.280,0.080,0.175,0.081,0.051,0.070,6
I,0.270,0.195,0.060,0.073,0.029,0.024,0.030,5
I,0.375,0.275,0.090,0.238,0.107,0.054,0.070,6
I,0.385,0.290,0.085,0.251,0.112,0.061,0.080,8
M,0.700,0.535,0.160,1.726,0.630,0.264,0.540,19
M,0.710,0.540,0.165,1.959,0.766,0.261,0.780,18
M,0.595,0.480,0.165,1.262,0.483,0.283,0.410,17
F,0.440,0.350,0.125,0.404,0.175,0.063,0.129,9
F,0.325,0.260,0.090,0.192,0.085,0.036,0.062,7
I,0.350,0.260,0.095,0.211,0.086,0.056,0.068,7
I,0.265,0.200,0.065,0.098,0.040,0.021,0.028,7
F,0.425,0.330,0.115,0.406,0.164,0.081,0.136,8
F,0.305,0.230,0.080,0.156,0.068,0.035,0.048,7
M,0.345,0.255,0.090,0.201,0.094,0.029,0.063,9
F,0.405,0.325,0.110,0.355,0.151,0.063,0.117,9
M,0.375,0.285,0.095,0.253,0.096,0.058,0.092,9
F,0.565,0.445,0.155,0.826,0.341,0.205,0.247,10
F,0.550,0.450,0.145,0.741,0.295,0.143,0.267,10
M,0.650,0.520,0.190,1.345,0.519,0.306,0.447,16
M,0.560,0.455,0.155,0.797,0.340,0.190,0.242,11
M,0.475,0.375,0.130,0.517,0.207,0.117,0.170,10
F,0.490,0.380,0.125,0.549,0.245,0.107,0.174,10
M,0.460,0.350,0.120,0.515,0.224,0.108,0.157,10
I,0.280,0.205,0.080,0.127,0.052,0.039,0.042,9
I,0.175,0.130,0.055,0.032,0.011,0.006,0.013,5
I,0.170,0.130,0.095,0.030,0.013,0.008,0.010,4
M,0.590,0.475,0.145,1.053,0.442,0.262,0.325,15
F,0.605,0.500,0.185,1.119,0.469,0.259,0.335,9
F,0.635,0.515,0.190,1.371,0.506,0.305,0.450,10
F,0.605,0.485,0.160,1.056,0.370,0.235,0.355,10
F,0.565,0.450,0.135,0.989,0.387,0.149,0.310,12
M,0.515,0.405,0.130,0.722,0.320,0.131,0.210,10
F,0.575,0.460,0.190,0.994,0.392,0.242,0.340,13
M,0.645,0.485,0.215,1.514,0.546,0.262,0.635,16
F,0.580,0.455,0.170,0.907,0.374,0.213,0.285,13
F,0.575,0.460,0.165,1.124,0.298,0.178,0.440,13
M,0.605,0.465,0.165,1.056,0.421,0.247,0.340,13
F,0.605,0.485,0.160,1.222,0.530,0.258,0.280,13
M,0.610,0.485,0.175,1.244,0.544,0.297,0.345,12
F,0.725,0.560,0.210,2.141,0.650,0.398,1.005,18
F,0.650,0.545,0.230,1.752,0.560,0.289,0.815,16
M,0.725,0.570,0.190,2.550,1.071,0.483,0.725,14
F,0.725,0.575,0.175,2.124,0.765,0.452,0.850,20
F,0.680,0.570,0.205,1.842,0.625,0.408,0.650,20
M,0.705,0.560,0.220,1.981,0.818,0.308,0.760,14
F,0.680,0.515,0.175,1.619,0.512,0.409,0.620,12
M,0.695,0.550,0.215,1.956,0.713,0.541,0.590,14
F,0.530,0.395,0.145,0.775,0.308,0.169,0.255,7
M,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8
F,0.520,0.405,0.115,0.776,0.320,0.184,0.220,8
I,0.235,0.160,0.040,0.048,0.018,0.018,0.015,5
I,0.360,0.260,0.090,0.178,0.065,0.037,0.075,7
I,0.315,0.210,0.060,0.125,0.060,0.037,0.035,5
I,0.315,0.245,0.085,0.143,0.053,0.048,0.050,8
I,0.225,0.160,0.045,0.046,0.025,0.015,0.015,4
M,0.580,0.475,0.150,0.970,0.385,0.216,0.350,11
M,0.570,0.480,0.180,0.940,0.399,0.200,0.295,14
M,0.640,0.510,0.175,1.368,0.515,0.266,0.570,21
F,0.560,0.450,0.160,1.024,0.429,0.268,0.300,10
F,0.620,0.475,0.175,1.016,0.435,0.214,0.325,10
F,0.645,0.510,0.200,1.567,0.621,0.367,0.460,12
M,0.620,0.490,0.190,1.218,0.545,0.296,0.355,13
F,0.630,0.480,0.150,1.052,0.392,0.336,0.285,12
F,0.630,0.500,0.185,1.383,0.540,0.332,0.380,10
F,0.630,0.480,0.160,1.199,0.526,0.335,0.315,11
F,0.585,0.460,0.170,0.932,0.365,0.271,0.290,9
M,0.615,0.480,0.180,1.159,0.484,0.216,0.325,13
M,0.610,0.485,0.170,1.022,0.419,0.240,0.360,12
M,0.580,0.450,0.150,0.927,0.276,0.181,0.360,14
I,0.355,0.275,0.085,0.220,0.092,0.060,0.150,8
F,0.510,0.400,0.140,0.815,0.459,0.197,0.195,10
M,0.500,0.405,0.155,0.772,0.346,0.153,0.245,12
F,0.505,0.410,0.150,0.644,0.285,0.145,0.210,11
M,0.640,0.500,0.185,1.304,0.445,0.264,0.465,16
M,0.560,0.450,0.160,0.922,0.432,0.178,0.260,15
M,0.585,0.460,0.185,0.922,0.363,0.213,0.285,10
F,0.450,0.345,0.120,0.416,0.166,0.095,0.135,9
M,0.500,0.400,0.165,0.825,0.254,0.205,0.285,13
F,0.500,0.400,0.145,0.630,0.234,0.146,0.230,12
F,0.530,0.435,0.170,0.816,0.298,0.155,0.275,13
M,0.420,0.335,0.115,0.369,0.171,0.071,0.120,8
F,0.440,0.340,0.140,0.482,0.186,0.108,0.160,9
I,0.400,0.300,0.110,0.315,0.109,0.067,0.120,9
I,0.435,0.340,0.110,0.380,0.149,0.085,0.120,8
F,0.525,0.415,0.170,0.833,0.276,0.169,0.310,13
I,0.370,0.280,0.095,0.266,0.122,0.052,0.080,7
F,0.490,0.365,0.145,0.634,0.200,0.163,0.220,10
M,0.335,0.250,0.090,0.181,0.075,0.042,0.060,7
F,0.415,0.325,0.105,0.380,0.160,0.079,0.120,12
M,0.500,0.405,0.140,0.616,0.241,0.136,0.205,9
F,0.485,0.395,0.160,0.660,0.247,0.128,0.235,14
M,0.550,0.405,0.140,0.802,0.244,0.164,0.255,10
M,0.450,0.350,0.130,0.460,0.174,0.111,0.135,8
I,0.405,0.300,0.120,0.324,0.127,0.070,0.110,7
M,0.470,0.360,0.135,0.501,0.167,0.115,0.165,10
F,0.415,0.305,0.130,0.320,0.131,0.075,0.105,8
F,0.445,0.325,0.125,0.455,0.178,0.113,0.140,9
F,0.470,0.350,0.145,0.517,0.187,0.123,0.180,11
F,0.490,0.375,0.150,0.576,0.220,0.144,0.190,9
F,0.445,0.355,0.150,0.485,0.181,0.125,0.155,11
I,0.425,0.380,0.105,0.327,0.129,0.079,0.100,10
F,0.500,0.370,0.135,0.450,0.172,0.105,0.155,9
F,0.390,0.290,0.125,0.305,0.121,0.082,0.090,7
I,0.365,0.270,0.085,0.205,0.078,0.049,0.070,7
F,0.580,0.465,0.165,1.101,0.404,0.209,0.350,11
F,0.530,0.415,0.160,0.783,0.293,0.158,0.245,15
M,0.555,0.445,0.135,0.836,0.336,0.163,0.275,13
M,0.565,0.440,0.175,0.902,0.310,0.193,0.325,14
M,0.625,0.505,0.215,1.446,0.496,0.287,0.435,22
I,0.275,0.215,0.075,0.116,0.049,0.029,0.035,7
I,0.440,0.350,0.135,0.435,0.181,0.083,0.125,12
I,0.295,0.225,0.080,0.124,0.049,0.032,0.040,9
I,0.075,0.055,0.010,0.002,0.001,0.001,0.002,1
I,0.130,0.100,0.030,0.013,0.004,0.003,0.004,3
I,0.110,0.090,0.030,0.008,0.003,0.002,0.003,3
I,0.160,0.120,0.035,0.021,0.007,0.004,0.005,5
M,0.565,0.425,0.160,0.943,0.349,0.218,0.275,17
I,0.270,0.200,0.070,0.100,0.034,0.025,0.035,5
I,0.230,0.175,0.065,0.065,0.026,0.011,0.020,5
I,0.300,0.230,0.080,0.128,0.043,0.026,0.040,8
I,0.330,0.255,0.085,0.166,0.063,0.039,0.060,8
I,0.350,0.260,0.085,0.174,0.070,0.035,0.060,10
I,0.320,0.245,0.080,0.159,0.064,0.033,0.050,13
I,0.360,0.275,0.085,0.198,0.074,0.042,0.070,9
I,0.305,0.245,0.075,0.156,0.068,0.038,0.045,7
I,0.345,0.270,0.110,0.213,0.082,0.054,0.070,7
I,0.330,0.250,0.105,0.172,0.066,0.035,0.060,7
M,0.590,0.470,0.180,1.123,0.420,0.281,0.360,13
F,0.595,0.455,0.155,1.060,0.513,0.216,0.300,12
F,0.575,0.460,0.185,1.094,0.449,0.217,0.345,15
M,0.600,0.495,0.165,1.242,0.485,0.278,0.340,15
M,0.560,0.450,0.175,1.011,0.384,0.206,0.370,15
M,0.560,0.450,0.185,1.070,0.381,0.175,0.410,19
M,0.545,0.460,0.160,0.897,0.341,0.166,0.345,10
F,0.635,0.505,0.170,1.415,0.605,0.297,0.365,15
F,0.590,0.475,0.160,1.101,0.477,0.256,0.295,13
F,0.540,0.475,0.155,0.928,0.394,0.194,0.260,11
F,0.570,0.440,0.125,0.865,0.367,0.172,0.270,12
M,0.530,0.420,0.165,0.894,0.319,0.239,0.245,11
I,0.245,0.195,0.060,0.095,0.044,0.025,0.026,4
M,0.270,0.200,0.080,0.120,0.046,0.028,0.040,6
F,0.460,0.380,0.130,0.639,0.300,0.152,0.160,11
M,0.520,0.450,0.150,0.895,0.361,0.186,0.235,14
M,0.350,0.275,0.110,0.292,0.122,0.064,0.090,8
M,0.470,0.390,0.150,0.635,0.218,0.088,0.255,9
F,0.450,0.360,0.125,0.499,0.203,0.100,0.170,13
F,0.640,0.525,0.215,1.779,0.454,0.285,0.550,22
M,0.590,0.500,0.200,1.187,0.412,0.271,0.370,16
M,0.620,0.485,0.205,1.219,0.388,0.251,0.385,14
M,0.630,0.505,0.225,1.525,0.560,0.334,0.450,15
M,0.630,0.515,0.155,1.259,0.410,0.197,0.410,13
M,0.655,0.540,0.215,1.844,0.743,0.327,0.585,22
F,0.660,0.530,0.185,1.349,0.493,0.245,0.490,12
M,0.610,0.500,0.240,1.642,0.532,0.335,0.690,18
M,0.635,0.525,0.205,1.484,0.550,0.311,0.430,20
F,0.515,0.425,0.135,0.712,0.267,0.161,0.250,11
F,0.535,0.415,0.185,0.842,0.314,0.159,0.300,15
I,0.360,0.285,0.105,0.241,0.091,0.057,0.075,7
F,0.455,0.355,0.120,0.450,0.177,0.104,0.150,9
M,0.485,0.395,0.140,0.629,0.229,0.127,0.225,14
M,0.515,0.380,0.175,0.957,0.325,0.158,0.310,14
F,0.535,0.415,0.170,0.879,0.295,0.197,0.285,10
M,0.530,0.435,0.155,0.699,0.288,0.160,0.205,10
F,0.495,0.400,0.155,0.644,0.242,0.133,0.205,17
M,0.440,0.355,0.125,0.477,0.132,0.082,0.190,9
F,0.535,0.435,0.160,0.810,0.316,0.179,0.240,10
M,0.540,0.435,0.180,0.996,0.384,0.226,0.325,17
F,0.565,0.505,0.210,1.276,0.501,0.279,0.355,12
M,0.610,0.475,0.165,1.116,0.428,0.221,0.315,15
F,0.565,0.455,0.175,1.013,0.342,0.207,0.350,19
M,0.600,0.495,0.195,1.058,0.384,0.190,0.375,26
I,0.295,0.215,0.085,0.128,0.049,0.034,0.040,6
I,0.275,0.205,0.075,0.111,0.045,0.029,0.035,6
I,0.280,0.210,0.085,0.106,0.039,0.029,0.030,4
M,0.490,0.395,0.140,0.549,0.222,0.128,0.150,11
M,0.370,0.280,0.105,0.234,0.090,0.059,0.075,9
F,0.405,0.305,0.095,0.348,0.145,0.089,0.100,9
F,0.540,0.435,0.175,0.892,0.322,0.174,0.335,13
M,0.370,0.280,0.100,0.252,0.106,0.059,0.074,8
M,0.360,0.270,0.100,0.217,0.088,0.050,0.071,6
F,0.470,0.360,0.130,0.472,0.182,0.114,0.150,10
I,0.200,0.145,0.060,0.037,0.013,0.009,0.011,4
I,0.165,0.120,0.030,0.021,0.007,0.005,0.005,3
M,0.645,0.515,0.240,1.542,0.471,0.369,0.535,13
M,0.550,0.410,0.125,0.760,0.251,0.164,0.195,14
M,0.570,0.435,0.145,0.905,0.393,0.235,0.275,10
F,0.630,0.485,0.190,1.244,0.464,0.305,0.390,21
M,0.560,0.440,0.140,0.971,0.443,0.204,0.265,14
M,0.595,0.455,0.195,1.331,0.460,0.324,0.345,19
F,0.620,0.470,0.200,1.226,0.381,0.270,0.435,23
M,0.630,0.485,0.175,1.300,0.433,0.294,0.460,23
I,0.450,0.355,0.110,0.459,0.194,0.067,0.140,8
F,0.635,0.535,0.190,1.242,0.576,0.247,0.390,14
M,0.450,0.350,0.100,0.367,0.146,0.102,0.120,10
F,0.580,0.455,0.155,0.837,0.315,0.139,0.320,18
I,0.330,0.255,0.095,0.172,0.066,0.025,0.060,6
I,0.265,0.210,0.060,0.097,0.043,0.022,0.030,5
I,0.190,0.145,0.040,0.038,0.017,0.006,0.015,4
M,0.385,0.310,0.100,0.284,0.106,0.075,0.100,11
I,0.265,0.205,0.070,0.105,0.039,0.041,0.035,5
M,0.335,0.265,0.105,0.222,0.093,0.056,0.075,7
I,0.355,0.275,0.090,0.251,0.097,0.053,0.080,7
I,0.320,0.255,0.100,0.175,0.073,0.042,0.065,7
M,0.510,0.400,0.130,0.643,0.270,0.167,0.205,12
M,0.360,0.295,0.105,0.241,0.086,0.053,0.095,8
I,0.360,0.280,0.090,0.226,0.088,0.040,0.090,8
M,0.500,0.380,0.155,0.596,0.213,0.161,0.200,12
F,0.400,0.325,0.120,0.319,0.134,0.057,0.095,8
I,0.300,0.220,0.080,0.121,0.048,0.042,0.035,5
I,0.235,0.175,0.040,0.070,0.034,0.015,0.020,5
F,0.740,0.600,0.195,1.974,0.598,0.408,0.710,16
M,0.620,0.465,0.190,1.341,0.571,0.318,0.355,11
M,0.600,0.475,0.190,1.087,0.403,0.266,0.325,14
M,0.590,0.450,0.185,1.283,0.473,0.276,0.425,16
M,0.620,0.475,0.185,1.325,0.605,0.325,0.330,13
F,0.565,0.450,0.195,1.004,0.406,0.251,0.285,15
M,0.575,0.455,0.145,1.165,0.581,0.228,0.300,14
F,0.620,0.510,0.205,1.347,0.477,0.257,0.480,14
M,0.620,0.465,0.185,1.274,0.579,0.306,0.320,12
F,0.505,0.375,0.180,0.568,0.233,0.149,0.170,12
F,0.460,0.425,0.155,0.746,0.300,0.152,0.240,8
M,0.490,0.390,0.140,0.707,0.280,0.218,0.180,13
F,0.525,0.420,0.160,0.756,0.275,0.173,0.275,9
I,0.340,0.260,0.080,0.200,0.080,0.056,0.055,6
I,0.375,0.305,0.115,0.272,0.092,0.074,0.090,8
M,0.610,0.480,0.150,1.200,0.560,0.245,0.280,14
F,0.610,0.495,0.185,1.153,0.536,0.290,0.245,8
F,0.585,0.450,0.170,0.869,0.333,0.164,0.270,22
M,0.570,0.460,0.140,0.954,0.447,0.206,0.245,12
M,0.580,0.455,0.170,0.930,0.408,0.259,0.220,9
M,0.635,0.515,0.170,1.275,0.509,0.286,0.340,16
M,0.700,0.580,0.205,2.130,0.742,0.490,0.580,20
M,0.675,0.525,0.185,1.587,0.694,0.336,0.395,13
F,0.645,0.525,0.190,1.808,0.704,0.389,0.395,18
M,0.745,0.585,0.215,2.499,0.926,0.472,0.700,17
F,0.685,0.545,0.180,1.768,0.750,0.392,0.485,16
M,0.605,0.490,0.180,1.227,0.480,0.287,0.350,18
F,0.590,0.465,0.150,0.997,0.392,0.246,0.340,12
F,0.650,0.525,0.175,1.423,0.610,0.299,0.445,20
F,0.600,0.480,0.150,1.029,0.408,0.271,0.295,16
F,0.620,0.500,0.175,1.186,0.498,0.301,0.350,12
M,0.630,0.515,0.160,1.016,0.421,0.244,0.355,19
M,0.580,0.465,0.145,0.887,0.441,0.166,0.265,11
F,0.580,0.455,0.120,1.073,0.479,0.274,0.265,10
M,0.630,0.490,0.180,1.130,0.458,0.277,0.315,12
F,0.690,0.560,0.215,1.719,0.680,0.299,0.470,17
F,0.650,0.545,0.165,1.566,0.664,0.345,0.415,16
F,0.660,0.565,0.195,1.760,0.692,0.327,0.500,16
F,0.680,0.580,0.200,1.787,0.585,0.453,0.600,19
F,0.700,0.575,0.170,1.310,0.509,0.314,0.420,14
M,0.685,0.520,0.150,1.343,0.464,0.292,0.400,13
F,0.675,0.545,0.195,1.734,0.684,0.369,0.605,20
M,0.630,0.490,0.190,1.177,0.493,0.337,0.285,11
F,0.585,0.450,0.160,1.077,0.499,0.287,0.250,10
M,0.565,0.465,0.175,0.995,0.390,0.183,0.370,15
F,0.610,0.495,0.185,1.109,0.370,0.314,0.330,12
M,0.605,0.470,0.180,1.141,0.376,0.281,0.385,15
M,0.535,0.420,0.145,0.791,0.330,0.189,0.250,10
M,0.485,0.400,0.135,0.663,0.313,0.137,0.200,10
M,0.470,0.375,0.120,0.556,0.226,0.122,0.195,12
M,0.545,0.425,0.135,0.845,0.373,0.210,0.235,10
F,0.455,0.370,0.105,0.492,0.216,0.124,0.135,9
M,0.540,0.420,0.155,0.739,0.351,0.152,0.215,12
M,0.460,0.380,0.135,0.482,0.207,0.122,0.145,10
M,0.490,0.420,0.125,0.609,0.239,0.143,0.220,14
I,0.465,0.375,0.120,0.471,0.222,0.119,0.140,9
I,0.415,0.325,0.100,0.322,0.153,0.059,0.105,10
M,0.475,0.375,0.125,0.593,0.277,0.115,0.180,10
F,0.470,0.375,0.125,0.561,0.252,0.137,0.180,10
I,0.365,0.295,0.095,0.250,0.107,0.054,0.080,9
I,0.345,0.275,0.095,0.200,0.075,0.053,0.070,6
I,0.390,0.310,0.100,0.302,0.116,0.064,0.115,11
F,0.500,0.395,0.140,0.716,0.317,0.176,0.240,10
M,0.470,0.380,0.145,0.587,0.238,0.144,0.185,8
M,0.535,0.440,0.150,0.676,0.256,0.139,0.260,12
M,0.585,0.455,0.150,0.987,0.435,0.207,0.310,11
F,0.485,0.365,0.120,0.589,0.270,0.131,0.175,9
M,0.515,0.455,0.135,0.723,0.295,0.163,0.235,9
F,0.435,0.325,0.110,0.433,0.178,0.099,0.155,7
F,0.515,0.415,0.140,0.694,0.311,0.152,0.200,10
I,0.440,0.345,0.120,0.365,0.166,0.083,0.110,7
F,0.525,0.440,0.150,0.843,0.368,0.199,0.240,12
M,0.450,0.355,0.115,0.479,0.212,0.104,0.150,8
M,0.590,0.485,0.120,0.911,0.390,0.182,0.290,16
M,0.555,0.450,0.145,0.915,0.400,0.246,0.285,11
M,0.570,0.440,0.095,0.827,0.340,0.222,0.235,8
M,0.590,0.500,0.165,1.105,0.457,0.242,0.340,15
M,0.585,0.475,0.120,0.945,0.410,0.211,0.280,14
F,0.580,0.460,0.120,0.994,0.463,0.238,0.280,11
M,0.545,0.440,0.120,0.857,0.347,0.172,0.240,12
F,0.605,0.495,0.170,1.238,0.528,0.246,0.390,14
F,0.620,0.470,0.140,1.032,0.360,0.224,0.360,15
F,0.630,0.500,0.170,1.313,0.559,0.267,0.400,20
M,0.630,0.515,0.165,1.352,0.488,0.349,0.450,20
F,0.630,0.500,0.155,1.005,0.367,0.199,0.360,16
M,0.545,0.410,0.140,0.625,0.223,0.160,0.235,13
F,0.670,0.540,0.165,1.502,0.518,0.358,0.505,14
I,0.490,0.380,0.120,0.529,0.216,0.139,0.155,11
F,0.490,0.390,0.135,0.579,0.246,0.123,0.200,13
I,0.290,0.225,0.070,0.101,0.036,0.024,0.035,8
I,0.260,0.200,0.070,0.092,0.037,0.020,0.030,6
M,0.580,0.450,0.175,1.068,0.425,0.203,0.320,13
F,0.610,0.485,0.165,1.091,0.394,0.243,0.330,18
M,0.600,0.500,0.160,1.015,0.400,0.173,0.330,19
F,0.560,0.455,0.125,0.943,0.344,0.129,0.375,21
F,0.575,0.450,0.170,1.048,0.378,0.171,0.385,18
F,0.570,0.450,0.175,0.956,0.380,0.167,0.295,18
M,0.600,0.470,0.155,1.036,0.438,0.196,0.325,20
M,0.565,0.455,0.170,0.906,0.342,0.156,0.320,18
M,0.545,0.420,0.140,0.750,0.247,0.130,0.255,22
