instance,class,num,sup,cpm,mis,misr,dir,omega
160,3,20,1,6000,0.4,0.0,io,3000
160,3,21,3,9000,9.5,0.0,io,3000
160,3,22,3,9000,5.0,0.0,iv,3000
160,3,23,3,9000,2.0,0.0,ia,3000
160,3,24,3,12000,2.1,0.0,io,3000
160,3,25,3,12000,3.2,0.0,iv,3000
160,3,26,3,15000,3.4,0.0,io,3000
160,3,27,3,28000,2.5,0.0,iv,3000
160,3,28,3,30000,3.0,0.0,io,3000
160,3,29,3,30000,1.05,0.0,ia,3000
160,3,30,4,3000,0.35,0.0,iv,3000
160,3,31,4,6000,1.3,0.0,io,3000
160,3,32,4,9000,4.8,0.0,io,3000
160,3,33,4,9000,3.4,0.0,iv,3000
160,3,34,4,12000,1.9,0.0,io,3000
160,3,35,4,12000,2.0,0.0,iv,3000
160,3,36,4,20000,3.2,0.0,iv,3000
160,3,37,4,24000,2.35,0.0,iv,3000
160,3,38,1,3000,0.35,0.0,iv,3000
160,3,39,1,12000,1.95,0.0,iv,3000
160,3,40,4,27000,1.9,0.0,io,3000
160,3,41,1,15000,3.2,0.0,io,3000
160,3,42,1,27000,1.0,0.0,io,3000
160,3,43,1,32000,1.3,0.0,iv,3000
160,3,44,2,3000,0.9,0.0,iv,3000
160,3,45,2,3000,0.9,0.0,ia,3000
160,3,46,2,6000,1.25,0.0,io,3000
160,3,47,2,9000,1.7,0.0,ia,3000
160,3,48,2,12000,3.6,0.0,iv,3000
160,3,49,2,12000,5.4,0.0,ia,3000
160,3,50,2,15000,3.5,0.0,io,3000
160,3,51,2,24000,1.45,0.0,io,3000
160,3,52,2,24000,1.3,0.0,ia,3000
160,3,53,2,32000,1.2,0.0,iv,3000
160,3,54,3,3000,0.8,0.0,io,3000
160,3,55,3,3000,0.6,0.0,iv,3000
160,3,56,3,6000,2.8,0.0,io,3000
160,3,57,3,9000,9.5,0.0,ma,3000
52,4,0,2,0,70.0,0.0,ao,3000
52,4,1,2,0,140.0,0.0,av,3000
52,4,2,2,0,190.0,0.0,aa,3000
52,4,3,2,0,14.0,0.0,vo,3000
52,4,4,2,0,12.5,0.0,vv,3000
52,4,5,2,0,29.0,0.0,va,3000
52,4,6,1,0,42.5,0.0,ao,3000
52,4,7,1,0,160.0,0.0,av,3000
52,4,8,1,0,7.75,0.0,vo,3000
52,4,9,1,0,21.5,0.0,vv,3000
52,4,10,3,0,9.0,0.0,ao,3000
52,4,11,3,0,8.0,0.0,aa,3000
52,4,12,3,0,3.25,0.0,vo,3000
52,4,13,3,0,1.9,0.0,va,3000
52,4,14,1,6000,6.0,0.0,io,3000
52,4,15,1,6000,2.25,0.0,iv,3000
52,4,16,1,9000,2.5,0.0,io,3000
52,4,17,1,9000,1.1,0.0,iv,3000
52,4,18,1,12000,1.1,0.0,io,3000
52,4,19,1,12000,1.1,0.0,iv,3000
52,4,20,2,3000,5.5,0.0,io,3000
52,4,21,2,3000,9.0,0.0,iv,3000
52,4,22,2,3000,24.5,0.0,ia,3000
52,4,23,1,3000,3.5,0.0,io,3000
52,4,24,1,3000,21.0,0.0,iv,3000
52,4,25,2,6000,10.0,0.0,io,3000
52,4,26,2,6000,4.25,0.0,iv,3000
52,4,27,2,6000,4.25,0.0,ia,3000
52,4,28,3,9000,1.75,0.0,io,3000
52,4,29,2,9000,1.85,0.0,io,3000
52,4,30,2,9000,1.3,0.0,iv,3000
52,4,31,2,9000,1.65,0.0,ia,3000
52,4,32,2,12000,1.0,0.0,io,3000
52,4,33,2,12000,1.75,0.0,iv,3000
52,4,34,2,12000,1.0,0.0,ia,3000
52,4,35,3,3000,0.5,0.0,io,3000
52,4,36,3,6000,1.95,0.0,io,3000
52,4,37,2,3000,24.5,0.0,ma,3000
169,4,0,1,0,25.0,0.0,ao,3000
169,4,1,1,0,8.0,0.0,av,3000
169,4,2,1,0,8.0,0.0,vo,3000
169,4,3,1,0,2.5,0.0,vv,3000
169,4,4,2,0,25.0,0.0,ao,3000
169,4,5,2,0,8.0,0.0,av,3000
169,4,6,2,0,5.0,0.0,aa,3000
169,4,7,2,0,8.0,0.0,vo,3000
169,4,8,2,0,2.5,0.0,vv,3000
169,4,9,2,0,1.8,0.0,va,3000
169,4,10,4,0,5.0,0.0,ao,3000
169,4,11,4,0,1.5,0.0,av,3000
169,4,12,4,0,1.75,0.0,vo,3000
169,4,13,4,0,0.9,0.0,vv,3000
169,4,14,3,0,4.5,0.0,ao,3000
169,4,15,3,0,1.5,0.0,av,3000
169,4,16,3,0,4.5,0.0,aa,3000
169,4,17,3,0,1.7,0.0,vo,3000
169,4,18,3,0,0.8,0.0,vv,3000
169,4,19,3,0,1.75,0.0,va,3000
169,4,20,1,6000,7.0,0.0,io,3000
169,4,21,1,6000,2.0,0.0,iv,3000
169,4,22,1,3000,0.6,0.0,io,3000
169,4,23,1,3000,0.5,0.0,iv,3000
169,4,24,2,3000,0.5,0.0,io,3000
169,4,25,2,3000,0.4,0.0,iv,3000
169,4,26,2,3000,0.2,0.0,ia,3000
169,4,27,4,6000,1.4,0.0,io,3000
169,4,28,2,6000,7.5,0.0,io,3000
169,4,29,2,6000,2.0,0.0,iv,3000
169,4,30,2,6000,1.8,0.0,ia,3000
169,4,31,3,6000,1.25,0.0,io,3000
169,4,32,3,6000,1.25,0.0,ia,3000
169,4,33,2,6000,7.5,0.0,ma,3000
99,2,0,1,0,19.0,21.0,ao,1500
99,2,1,1,0,15.0,3.5,av,1500
99,2,2,1,0,1.6,1.7,vo,1500
99,2,3,1,0,1.0,0.7,vv,1500
99,2,4,2,0,20.0,24.0,ao,1500
99,2,5,2,0,14.0,6.0,aa,1500
99,2,6,2,0,2.1,2.1,vo,1500
99,2,7,2,0,0.9,0.6,va,1500
99,2,8,4,0,20.0,9.0,ao,1500
99,2,9,4,0,10.0,5.5,aa,1500
99,2,10,4,0,3.3,1.8,vo,1500
99,2,11,4,0,3.0,2.3,va,1500
99,2,12,3,0,22.5,23.0,ao,1500
99,2,13,3,0,26.0,11.0,av,1500
99,2,14,3,0,6.4,3.2,vo,1500
99,2,15,3,0,3.6,3.0,vv,1500
99,2,16,1,9000,0.3,0.0,io,1500
99,2,17,2,1500,1.7,2.0,io,1500
99,2,18,2,9000,0.4,0.0,io,1500
99,2,19,2,30000,0.2,0.0,io,1500
99,2,20,3,1500,5.2,1.6,io,1500
99,2,21,3,1500,2.1,0.7,iv,1500
99,2,22,3,9000,1.25,1.6,io,1500
99,2,23,3,9000,1.1,0.7,iv,1500
99,2,24,3,24000,1.0,0.0,iv,1500
99,2,25,3,25000,3.8,0.0,io,1500
99,2,26,1,1500,1.4,1.6,io,1500
99,2,27,1,1500,1.2,0.0,iv,1500
99,2,28,4,1500,1.4,0.6,io,1500
99,2,29,4,1500,0.7,0.0,ia,1500
99,2,30,4,30000,0.95,0.7,ia,1500
99,2,31,4,9000,0.7,1.05,io,1500
99,2,32,4,25000,1.0,0.0,ia,1500
99,2,33,4,26000,2.4,0.0,io,1500
99,2,34,3,1500,5.2,0.0,ma,1500
55,1,0,2,0,14.5,0.0,ao,1500
55,1,1,2,0,54.0,0.0,av,1500
55,1,2,2,0,38.0,0.0,aa,1500
55,1,3,2,0,1.3,0.0,vo,1500
55,1,4,2,0,4.2,0.0,vv,1500
55,1,5,2,0,3.4,0.0,va,1500
55,1,6,1,0,10.0,0.0,ao,1500
55,1,7,1,0,14.5,0.0,av,1500
55,1,8,1,0,0.9,0.0,vo,1500
55,1,9,1,0,1.2,0.0,vv,1500
55,1,10,3,0,15.0,0.0,ao,1500
55,1,11,3,0,45.0,0.0,av,1500
55,1,12,3,0,3.3,0.0,vo,1500
55,1,13,3,0,3.8,0.0,vv,1500
55,1,14,4,0,10.0,0.0,ao,1500
55,1,15,4,0,15.5,0.0,aa,1500
55,1,16,4,0,3.1,0.0,vo,1500
55,1,17,4,0,1.9,0.0,va,1500
55,1,18,2,1500,1.1,0.0,io,1500
55,1,19,2,1500,4.0,0.0,iv,1500
55,1,20,2,1500,2.5,0.0,ia,1500
55,1,21,2,3000,1.0,0.0,iv,1500
55,1,22,2,3000,0.6,0.0,ia,1500
55,1,23,2,30000,0.45,0.0,iv,1500
55,1,24,2,30000,1.15,0.0,ia,1500
55,1,25,2,24000,0.4,0.0,io,1500
55,1,26,1,1500,0.8,0.0,iv,1500
55,1,27,3,1500,1.1,0.0,io,1500
55,1,28,3,1500,2.8,0.0,iv,1500
55,1,29,4,31000,1.15,0.0,io,1500
55,1,30,3,7500,1.65,0.0,iv,1500
55,1,31,3,15000,1.25,0.0,io,1500
55,1,32,3,15000,0.5,0.0,iv,1500
55,1,33,3,30000,1.6,0.0,io,1500
55,1,34,3,32000,0.95,0.0,iv,1500
55,1,35,4,1500,0.5,0.0,io,1500
55,1,36,4,1500,1.2,0.0,ia,1500
55,1,37,4,7500,1.35,0.0,ia,1500
55,1,38,4,15000,1.05,0.0,io,1500
55,1,39,4,15000,0.6,0.0,ia,1500
55,1,40,2,1500,4.0,0.0,ma,1500
151,3,0,2,0,11.5,5.75,ao,3000
151,3,1,2,0,11.0,5.5,av,3000
151,3,2,2,0,5.8,2.0,aa,3000
151,3,3,2,0,5.5,1.7,vo,3000
151,3,4,2,0,7.0,2.1,vv,3000
151,3,5,2,0,3.7,0.95,va,3000
151,3,6,3,0,5.3,2.0,ao,3000
151,3,7,3,0,4.5,1.8,av,3000
151,3,8,3,0,4.2,1.5,aa,3000
151,3,9,3,0,2.6,0.95,vo,3000
151,3,10,3,0,2.7,1.05,vv,3000
151,3,11,3,0,2.2,1.2,va,3000
151,3,12,1,0,11.0,6.25,ao,3000
151,3,13,1,0,7.0,4.75,av,3000
151,3,14,1,0,5.7,1.95,vo,3000
151,3,15,1,0,4.6,1.05,vv,3000
151,3,16,4,0,2.8,1.5,ao,3000
151,3,17,4,0,1.35,1.5,av,3000
151,3,18,4,0,1.1,0.4,vo,3000
151,3,19,4,0,0.8,0.55,vv,3000
151,3,20,1,6000,1.7,1.5,io,3000
151,3,21,4,24000,0.35,0.0,io,3000
151,3,22,2,18000,2.6,0.65,io,3000
151,3,23,2,18000,2.8,1.1,iv,3000
151,3,24,2,18000,1.65,0.0,ia,3000
151,3,25,2,21000,1.6,0.0,io,3000
151,3,26,2,21000,2.4,0.0,iv,3000
151,3,27,2,21000,1.75,0.0,ia,3000
151,3,28,2,24000,1.85,0.0,iv,3000
151,3,29,2,27000,0.9,0.0,ia,3000
151,3,30,2,34000,0.55,0.0,io,3000
151,3,31,2,37000,1.0,0.0,iv,3000
151,3,32,3,3000,0.65,0.0,io,3000
151,3,33,3,3000,0.55,0.0,iv,3000
151,3,34,3,3000,0.6,0.0,ia,3000
151,3,35,3,9000,0.45,0.0,io,3000
151,3,36,3,15000,0.45,0.0,io,3000
151,3,37,3,15000,0.35,0.0,ia,3000
151,3,38,3,18000,0.45,0.0,io,3000
151,3,39,3,18000,0.4,0.0,iv,3000
151,3,40,3,18000,0.6,0.0,ia,3000
151,3,41,3,21000,0.6,0.0,io,3000
151,3,42,3,24000,1.55,0.9,io,3000
151,3,43,3,24000,1.1,0.0,iv,3000
151,3,44,3,24000,0.85,0.7,ia,3000
151,3,45,3,27000,1.5,0.0,iv,3000
151,3,46,4,3000,0.3,0.0,io,3000
151,3,47,4,9000,0.4,0.0,io,3000
151,3,48,1,9000,2.5,0.35,io,3000
151,3,49,1,9000,1.05,0.55,iv,3000
151,3,50,1,12000,1.9,0.0,io,3000
151,3,51,1,12000,1.95,0.0,iv,3000
151,3,52,1,15000,1.35,0.0,io,3000
151,3,53,1,15000,1.85,0.0,iv,3000
151,3,54,1,3000,0.6,0.6,io,3000
151,3,55,1,3000,0.55,0.6,iv,3000
151,3,56,1,18000,2.7,0.0,io,3000
151,3,57,4,27000,0.4,0.0,io,3000
151,3,58,1,21000,1.8,0.0,iv,3000
151,3,59,1,24000,1.2,0.0,io,3000
151,3,60,1,24000,1.35,0.0,iv,3000
151,3,61,1,30000,0.65,0.0,ia,3000
151,3,62,1,37000,0.5,0.0,iv,3000
151,3,63,2,3000,1.0,0.4,io,3000
151,3,64,2,3000,1.0,0.6,iv,3000
151,3,65,2,3000,0.45,0.0,ia,3000
151,3,66,2,6000,1.4,1.5,io,3000
151,3,67,2,9000,2.6,0.3,io,3000
151,3,68,2,9000,0.9,0.95,iv,3000
151,3,69,2,9000,1.2,0.75,ia,3000
151,3,70,2,12000,2.0,0.0,io,3000
151,3,71,2,12000,3.5,0.0,iv,3000
151,3,72,2,12000,2.5,0.0,ia,3000
151,3,73,2,15000,1.25,0.0,io,3000
151,3,74,2,15000,1.35,0.4,iv,3000
151,3,75,2,15000,1.2,0.0,ia,3000
151,3,76,2,12000,3.5,0.0,ma,3000
39,1,0,1,0,7.5,11.0,ao,3000
39,1,1,1,0,11.0,0.0,av,3000
39,1,2,1,0,2.5,2.3,vo,3000
39,1,3,1,0,1.9,0.0,vv,3000
39,1,4,2,0,14.0,9.0,ao,3000
39,1,5,2,0,20.0,4.5,av,3000
39,1,6,2,0,35.0,7.5,aa,3000
39,1,7,2,0,2.75,2.1,vo,3000
39,1,8,2,0,3.25,1.1,vv,3000
39,1,9,2,0,6.0,2.0,va,3000
39,1,10,4,0,26.0,14.0,ao,3000
39,1,11,4,0,11.0,0.0,av,3000
39,1,12,4,0,4.5,2.6,vo,3000
39,1,13,4,0,3.4,0.0,vv,3000
39,1,14,3,0,42.0,23.0,ao,3000
39,1,15,3,0,21.0,0.0,av,3000
39,1,16,3,0,10.0,5.0,aa,3000
39,1,17,3,0,11.0,6.75,vo,3000
39,1,18,3,0,6.0,0.0,vv,3000
39,1,19,3,0,1.9,1.7,va,3000
39,1,20,1,6000,2.0,2.2,io,3000
39,1,21,1,6000,0.65,0.0,iv,3000
39,1,22,1,9000,0.85,0.0,io,3000
39,1,23,2,3000,2.1,0.3,io,3000
39,1,24,2,3000,3.0,0.4,iv,3000
39,1,25,2,3000,6.25,0.5,ia,3000
39,1,26,2,6000,1.3,1.9,io,3000
39,1,27,2,6000,0.9,0.4,iv,3000
39,1,28,2,6000,1.1,1.4,ia,3000
39,1,29,2,9000,0.8,0.0,io,3000
39,1,30,2,9000,1.2,0.0,iv,3000
39,1,31,3,3000,6.5,2.6,io,3000
39,1,32,3,3000,3.0,0.0,iv,3000
39,1,33,3,3000,1.0,0.0,ia,3000
39,1,34,3,6000,2.5,1.2,io,3000
39,1,35,3,6000,1.9,0.0,iv,3000
39,1,36,3,6000,0.6,1.2,ia,3000
39,1,37,3,9000,2.2,0.0,io,3000
39,1,38,3,9000,2.2,0.0,iv,3000
39,1,39,3,9000,0.6,0.0,ia,3000
39,1,40,3,12000,1.2,0.0,io,3000
39,1,41,3,15000,2.25,1.95,io,3000
39,1,42,3,15000,1.5,0.0,iv,3000
39,1,43,1,3000,0.7,0.3,io,3000
39,1,44,1,3000,1.25,0.0,iv,3000
39,1,45,3,27000,3.5,1.9,io,3000
39,1,46,3,27000,1.4,0.0,iv,3000
39,1,47,3,27000,0.8,0.0,ia,3000
39,1,48,4,27000,1.0,0.0,io,3000
39,1,49,4,27000,1.2,0.0,iv,3000
39,1,50,4,3000,4.0,1.6,io,3000
39,1,51,4,3000,1.8,0.0,iv,3000
39,1,52,4,6000,0.6,1.4,io,3000
39,1,53,4,6000,0.8,0.0,iv,3000
39,1,54,4,9000,1.2,0.0,iv,3000
39,1,55,3,3000,6.5,0.0,ma,3000
134,2,0,1,0,4.5,0.0,ao,1500
134,2,1,1,0,3.5,0.0,av,1500
134,2,2,1,0,1.25,0.0,vo,1500
134,2,3,1,0,0.8,0.0,vv,1500
