"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-06","0.08","0.9","7.0",,"33","14"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-07","0.00","0.0","6.0",,"23","10"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-08","0.00","0.0","0.0",,"24","4"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-09","0.37","4.4","5.0",,"33","17"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-10","0.02","0.8","10.0",,"27","10"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-11","0.00","0.0","9.0",,"27","17"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-12","0.00","0.0","9.0",,"25","15"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-13","0.00","0.0","7.0",,"27","21"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-14","0.00","0.0","7.0",,"27","14"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-15","0.56","9.7","7.0",,"26","11"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-16","0.04","0.7","14.0",,"28","21"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-17","0.00","0.0","14.0",,"31","25"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-18","0.00","0.0","13.0",,"34","28"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-19","0.00","0.0","11.0",,"35","18"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-20","0.00","0.0","8.0",,"40","16"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-21","0.00","0.0","7.0",,"42","32"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-22","0.17","0.0","6.0",,"40","33"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-23","0.00","0.0","5.0",,"35","31"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-24","0.03","0.3","3.0",,"33","23"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-25","0.03","1.2","3.0",,"29","22"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-26","0.14","2.2","4.0",,"29","26"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-27","0.06","0.6","6.0",,"33","27"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-28","0.00","0.0","6.0",,"38","31"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-01","0.00","0.0","3.0",,"38","30"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-02","0.00","0.0","2.0",,"34","24"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-03","0.00","0.0","1.0",,"34","29"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-04","0.00","0.0","1.0",,"39","23"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-05","0.00","0.0","0.0",,"39","21"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-06","0.00","0.0","0.0",,"43","20"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-07","0.00","0.0","0.0",,"48","20"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-08","0.00","0.0","0.0",,"55","34"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-09","0.00","0.0","0.0",,"62","31"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-10","0.04","0.0","0.0",,"64","44"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-11","0.05","0.0","0.0",,"68","42"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-12","0.16","0.0","0.0",,"70","49"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-13","0.74","0.0","0.0",,"52","43"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-14","0.06","0.0","0.0",,"48","39"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-15","0.00","0.0","0.0",,"45","38"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-16","0.00","0.0","0.0",,"60","40"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-17","0.00","0.0","0.0",,"63","33"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-18","0.00","0.0","0.0",,"65","33"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-19","0.00","0.0","0.0",,"66","37"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-20","0.00","0.0","0.0",,"69","40"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-21","0.01","0.0","0.0",,"72","41"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-22","0.49","0.0","0.0",,"49","37"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-23","0.00","0.0","0.0",,"49","37"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-24","0.00","0.0","0.0",,"61","32"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-25","0.70","0.2","0.0",,"58","31"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-26","0.05","0.5","1.0",,"41","29"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-27","0.00","0.0","0.0",,"58","26"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-28","0.44","0.0","0.0",,"57","43"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-29","0.01","0.0","0.0",,"50","41"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-30","0.00","0.0","0.0",,"57","34"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-03-31","0.00","0.0","0.0",,"71","34"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-01","0.00","0.0","0.0",,"81","52"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-02","0.00","0.0","0.0",,"84","55"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-03","0.00","0.0","0.0",,"80","49"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-04","0.00","0.0","0.0",,"73","41"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-05","0.60","0.0","0.0",,"80","59"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-06","0.00","0.0","0.0",,"84","61"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-07","0.00","0.0","0.0",,"77","66"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-08","0.09","0.0","0.0",,"68","41"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-09","0.00","0.0","0.0",,"52","39"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-10","0.00","0.0","0.0",,"66","31"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-11","0.00","0.0","0.0",,"73","43"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-12","0.00","0.0","0.0",,"68","46"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-13","0.00","0.0","0.0",,"65","50"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-14","0.00","0.0","0.0",,"72","46"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-15","0.00","0.0","0.0",,"84","48"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-16","0.06","0.0","0.0",,"79","52"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-17","0.00","0.0","0.0",,"56","41"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-18","0.00","0.0","0.0",,"58","37"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-19","0.00","0.0","0.0",,"63","34"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-20","0.00","0.0","0.0",,"65","42"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-21","0.00","0.0","0.0",,"69","40"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-22","0.00","0.0","0.0",,"70","42"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-23","0.02","0.0","0.0",,"72","47"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-24","0.71","0.0","0.0",,"69","55"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-25","0.45","0.0","0.0",,"71","56"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-26","0.58","0.0","0.0",,"57","48"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-27","0.00","0.0","0.0",,"55","39"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-28","0.00","0.0","0.0",,"61","32"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-29","0.00","0.0","0.0",,"70","36"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-04-30","0.00","0.0","0.0",,"82","56"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-01","0.11","0.0","0.0",,"71","62"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-02","0.59","0.0","0.0",,"70","62"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-03","0.05","0.0","0.0",,"76","59"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-04","0.07","0.0","0.0",,"75","55"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-05","0.02","0.0","0.0",,"83","50"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-06","0.00","0.0","0.0",,"71","56"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-07","0.13","0.0","0.0",,"85","52"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-08","0.15","0.0","0.0",,"61","43"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-09","0.00","0.0","0.0",,"57","39"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-10","0.00","0.0","0.0",,"62","35"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-11","0.95","0.0","0.0",,"72","45"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-12","0.27","0.0","0.0",,"61","54"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-13","0.08","0.0","0.0",,"83","53"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-14","0.00","0.0","0.0",,"78","59"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-15","0.00","0.0","0.0",,"74","51"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-16","0.00","0.0","0.0",,"70","56"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-17","0.15","0.0","0.0",,"61","55"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-18","0.08","0.0","0.0",,"65","58"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-19","0.15","0.0","0.0",,"64","52"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-20","0.00","0.0","0.0",,"78","47"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-21","0.85","0.0","0.0",,"70","61"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-22","0.03","0.0","0.0",,"76","61"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-23","0.00","0.0","0.0",,"83","57"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-24","0.00","0.0","0.0",,"83","63"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-25","0.00","0.0","0.0",,"83","64"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-26","0.00","0.0","0.0",,"87","63"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-27","0.00","0.0","0.0",,"89","63"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-28","0.05","0.0","0.0",,"85","68"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-29","0.00","0.0","0.0",,"86","65"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-30","0.00","0.0","0.0",,"89","62"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-05-31","0.16","0.0","0.0",,"84","67"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-01","0.00","0.0","0.0",,"81","65"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-02","0.71","0.0","0.0",,"88","64"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-03","0.01","0.0","0.0",,"82","64"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-04","0.02","0.0","0.0",,"87","68"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-05","0.27","0.0","0.0",,"81","69"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-06","0.20","0.0","0.0",,"77","62"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-07","0.00","0.0","0.0",,"73","57"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-08","0.10","0.0","0.0",,"74","51"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-09","0.64","0.0","0.0",,"81","60"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-10","0.00","0.0","0.0",,"83","57"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-11","0.26","0.0","0.0",,"83","62"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-12","0.32","0.0","0.0",,"82","70"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-13","0.00","0.0","0.0",,"83","69"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-14","0.66","0.0","0.0",,"86","67"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-15","0.38","0.0","0.0",,"87","70"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-16","0.00","0.0","0.0",,"85","70"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-17","0.00","0.0","0.0",,"80","62"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-18","0.00","0.0","0.0",,"86","63"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-19","0.00","0.0","0.0",,"87","71"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-20","0.00","0.0","0.0",,"86","65"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-21","0.00","0.0","0.0",,"87","67"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-22","0.00","0.0","0.0",,"89","71"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-23","0.00","0.0","0.0",,"93","71"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-24","0.00","0.0","0.0",,"85","70"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-25","0.00","0.0","0.0",,"87","63"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-26","0.96","0.0","0.0",,"90","65"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-27","0.71","0.0","0.0",,"91","69"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-28","0.14","0.0","0.0",,"85","68"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-29","0.00","0.0","0.0",,"76","61"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-06-30","0.00","0.0","0.0",,"76","55"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-01","0.00","0.0","0.0",,"77","53"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-02","0.00","0.0","0.0",,"79","51"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-03","0.00","0.0","0.0",,"85","55"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-04","0.00","0.0","0.0",,"91","64"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-05","0.00","0.0","0.0",,"91","71"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-06","0.00","0.0","0.0",,"93","70"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-07","0.00","0.0","0.0",,"93","69"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-08","0.07","0.0","0.0",,"92","71"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-09","0.80","0.0","0.0",,"81","70"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-10","0.00","0.0","0.0",,"86","64"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-11","0.00","0.0","0.0",,"87","66"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-12","2.08","0.0","0.0",,"83","68"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-13","0.85","0.0","0.0",,"79","68"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-14","0.00","0.0","0.0",,"87","65"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-15","0.00","0.0","0.0",,"89","69"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-16","0.26","0.0","0.0",,"88","70"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-17","0.00","0.0","0.0",,"90","67"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-18","1.10","0.0","0.0",,"88","70"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-19","0.00","0.0","0.0",,"87","70"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-20","0.01","0.0","0.0",,"85","72"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-21","0.00","0.0","0.0",,"87","73"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-22","0.00","0.0","0.0",,"89","69"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-23","0.00","0.0","0.0",,"94","76"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-24","0.00","0.0","0.0",,"93","78"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-25","0.74","0.0","0.0",,"85","69"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-26","0.00","0.0","0.0",,"83","63"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-27","0.00","0.0","0.0",,"87","66"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-28","0.00","0.0","0.0",,"91","70"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-29","0.00","0.0","0.0",,"84","66"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-30","0.00","0.0","0.0",,"83","61"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-07-31","0.10","0.0","0.0",,"81","69"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-08-01","0.00","0.0","0.0",,"87","65"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-08-02","0.00","0.0","0.0",,"88","66"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-08-03","0.07","0.0","0.0",,"88","73"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-08-04","0.75","0.0","0.0",,"89","71"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-08-05","0.00","0.0","0.0",,"88","70"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-08-06","0.00","0.0","0.0",,"82","66"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-08-07","0.00","0.0","0.0",,"83","61"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-08-08","0.00","0.0","0.0",,"86","62"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-08-09","0.00","0.0","0.0",,"90","66"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-08-10","0.00","0.0","0.0",,"92","73"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-08-11","0.51","0.0","0.0",,"87","73"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-08-12","0.00","0.0","0.0",,"92","72"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-08-13","0.00","0.0","0.0",,"91","69"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-08-14","0.25","0.0","0.0",,"89","73"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-08-15","0.00","0.0","0.0",,"88","73"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-08-16","0.00","0.0","0.0",,"83","65"
